Date,AUT_BAJAJ-AUTO.NS,AUT_EICHERMOT.NS,AUT_HEROMOTOCO.NS,AUT_M&M.NS,AUT_MARUTI.NS,AUT_TATAMOTORS.NS,CAP_BEL.NS,CND_ASIANPAINT.NS,CND_TITAN.NS,CON_GRASIM.NS,CON_ULTRACEMCO.NS,CSR_TRENT.NS,CST_LT.NS,FIN_AXISBANK.NS,FIN_BAJAJFINSV.NS,FIN_BAJFINANCE.NS,FIN_HDFCBANK.NS,FIN_ICICIBANK.NS,FIN_INDUSINDBK.NS,FIN_KOTAKBANK.NS,FIN_SBIN.NS,FIN_SHRIRAMFIN.NS,FMCG_HINDUNILVR.NS,FMCG_ITC.NS,FMCG_NESTLEIND.NS,FMCG_TATACONSUM.NS,HEA_APOLLOHOSP.NS,HEA_CIPLA.NS,HEA_DRREDDY.NS,HEA_SUNPHARMA.NS,IT_HCLTECH.NS,IT_INFY.NS,IT_TCS.NS,IT_TECHM.NS,IT_WIPRO.NS,MET_ADANIENT.NS,MET_HINDALCO.NS,MET_JSWSTEEL.NS,MET_TATASTEEL.NS,OIL_COALINDIA.NS,OIL_ONGC.NS,OIL_RELIANCE.NS,POW_NTPC.NS,POW_POWERGRID.NS,SER_ADANIPORTS.NS,TEL_BHARTIARTL.NS
2019-06-25,2386.776611328125,1679.6229248046875,2107.27685546875,599.6942138671875,6176.583984375,159.4593963623047,33.42485809326172,1307.9537353515625,1275.90576171875,871.5194702148438,4474.63525390625,427.9149169921875,1382.72998046875,777.293701171875,832.4080810546875,3514.0771484375,1163.1612548828125,417.15362548828125,1392.5718994140625,1478.6331787109375,335.6006774902344,210.65338134765625,1614.579833984375,224.25369262695312,1098.084228515625,249.34902954101562,1299.054931640625,526.6415405273438,490.61529541015625,361.8661193847656,452.82452392578125,650.5018920898438,2052.048095703125,604.7089233398438,138.11013793945312,148.9286651611328,194.5227508544922,244.4149627685547,19.524150848388672,152.3287811279297,116.62716674804688,582.9513549804688,102.67698669433594,82.31167602539062,391.15625,336.0179138183594
2019-06-26,2407.759765625,1682.6978759765625,2098.267822265625,601.4232788085938,6136.62255859375,160.1053924560547,33.57159423828125,1304.930908203125,1267.097412109375,887.9423828125,4475.9501953125,428.509521484375,1397.322998046875,784.2049560546875,838.8261108398438,3561.293212890625,1181.93505859375,421.96343994140625,1378.306396484375,1485.309326171875,337.1066589355469,207.01051330566406,1618.7625732421875,223.36793518066406,1107.150634765625,262.3384704589844,1282.484130859375,532.8649291992188,498.91461181640625,374.71783447265625,452.7195739746094,642.7630615234375,2039.74169921875,599.4911499023438,138.5216064453125,151.841064453125,200.1422882080078,253.65890502929688,20.01813316345215,153.47854614257812,117.57449340820312,582.1865234375,103.86355590820312,85.59842681884766,400.1240234375,333.0780334472656
2019-06-27,2405.367919921875,1711.4681396484375,2118.4873046875,614.8817138671875,6142.68310546875,164.82606506347656,33.73298645019531,1306.322265625,1286.601318359375,890.5022583007812,4477.65380859375,441.3925476074219,1397.052734375,795.9888916015625,842.1572875976562,3575.281982421875,1179.2532958984375,424.17596435546875,1393.10009765625,1476.34130859375,340.87164306640625,206.83169555664062,1631.080322265625,220.2275848388672,1107.183349609375,263.4449462890625,1286.8963623046875,528.4606323242188,496.3319396972656,377.8603820800781,446.0047912597656,635.2415161132812,2038.2489013671875,586.0087890625,136.56106567382812,150.90318298339844,197.98094177246094,253.84193420410156,20.02205467224121,152.94789123535156,119.71476745605469,573.189453125,103.93771362304688,84.80224609375,391.9759521484375,336.06610107421875
2019-06-28,2372.802001953125,1681.551513671875,2104.70849609375,612.4984741210938,6188.08984375,161.5464324951172,33.01401901245117,1303.20361328125,1291.9251708984375,883.063720703125,4435.498046875,436.9826354980469,1399.1246337890625,804.043701171875,850.2109375,3613.467041015625,1170.369140625,420.4723815917969,1354.9632568359375,1471.857177734375,340.0245361328125,203.40536499023438,1643.214111328125,220.50941467285156,1117.478759765625,259.50006103515625,1332.736328125,529.896728515625,493.4010925292969,376.125,446.80224609375,636.5023803710938,2015.31005859375,589.8906860351562,135.78651428222656,148.58311462402344,198.89349365234375,253.15548706054688,19.77505874633789,149.64601135253906,117.71483612060547,563.7198486328125,104.82768249511719,84.47561645507812,395.5437316894531,334.1382751464844
2019-07-01,2444.060791015625,1724.295654296875,2133.244873046875,616.8443603515625,6162.7109375,166.96279907226562,32.52981185913086,1299.0775146484375,1280.7939453125,888.763427734375,4407.0693359375,450.1134033203125,1402.2322998046875,805.9332275390625,849.8518676757812,3631.03857421875,1190.38818359375,422.3001403808594,1377.1536865234375,1475.942626953125,340.306884765625,198.54824829101562,1636.41162109375,221.39515686035156,1113.3653564453125,261.2800598144531,1344.0123291015625,532.1468505859375,513.5978393554688,380.25250244140625,440.2763671875,635.893798828125,2026.4853515625,588.2628784179688,136.5126495361328,152.13726806640625,200.6706085205078,252.37754821777344,19.875036239624023,146.96322631835938,112.9781723022461,570.8052368164062,105.71762084960938,84.53688049316406,398.4847412109375,335.9215087890625
2019-07-02,2420.223876953125,1769.2935791015625,2117.386962890625,622.6857299804688,6212.09619140625,162.73902893066406,32.896636962890625,1291.3052978515625,1281.568115234375,888.5701904296875,4424.05859375,454.4737854003906,1408.7181396484375,798.1268920898438,845.2440185546875,3642.916015625,1194.9139404296875,420.1357116699219,1360.775146484375,1466.277099609375,343.08355712890625,201.0144500732422,1644.6849365234375,220.50941467285156,1122.3800048828125,261.52056884765625,1329.647705078125,531.7160034179688,508.3359680175781,371.0593566894531,444.8507995605469,643.4585571289062,2037.8421630859375,594.1066284179688,137.6018524169922,152.72959899902344,201.10292053222656,252.74365234375,19.94756507873535,148.9974365234375,116.24119567871094,575.1463012695312,106.01426696777344,84.65936279296875,399.2561950683594,340.8374328613281
2019-07-03,2432.14208984375,1726.4747314453125,2109.600830078125,625.4894409179688,6187.28515625,161.2979736328125,33.19009780883789,1297.3026123046875,1285.875732421875,896.3952026367188,4440.658203125,449.8656921386719,1421.5096435546875,801.7069091796875,840.8157958984375,3647.136962890625,1192.3516845703125,419.3661193847656,1412.69677734375,1469.7647705078125,344.6366271972656,204.26193237304688,1640.5482177734375,222.80430603027344,1108.71240234375,261.37628173828125,1315.4786376953125,529.7053833007812,502.34844970703125,371.2000427246094,441.15765380859375,635.893798828125,2024.7659912109375,585.299072265625,136.92413330078125,153.61814880371094,200.478515625,253.88772583007812,20.00636863708496,147.96556091308594,116.69731903076172,576.96826171875,106.23676300048828,85.3125991821289,400.0758056640625,340.451904296875
2019-07-04,2429.666259765625,1741.876708984375,2124.80615234375,628.199951171875,6197.37109375,164.18006896972656,33.33681869506836,1304.691162109375,1248.99658203125,909.6299438476562,4522.6337890625,445.05926513671875,1415.789306640625,805.3410034179688,851.49755859375,3663.922607421875,1189.5499267578125,419.606689453125,1434.3109130859375,1492.4837646484375,345.81317138671875,200.09197998046875,1648.729248046875,223.5692596435547,1114.8377685546875,259.451904296875,1299.6434326171875,528.07763671875,503.4511413574219,367.8229064941406,436.77215576171875,638.0675048828125,2029.290771484375,584.8816528320312,137.40821838378906,154.11180114746094,198.74940490722656,251.73683166503906,19.925912857055664,148.05406188964844,117.25871276855469,577.6204833984375,106.38507843017578,85.82299041748047,400.0758056640625,349.6571960449219
2019-07-05,2385.811767578125,1726.035400390625,2048.2900390625,600.0680541992188,6022.7021484375,159.2109375,31.810840606689453,1303.7315673828125,1237.139404296875,895.5740356445312,4402.59033203125,435.69427490234375,1403.763671875,802.6029052734375,841.3045043945312,3650.81787109375,1184.09033203125,419.75091552734375,1472.2076416015625,1511.81494140625,348.8722229003906,202.8499755859375,1646.7071533203125,225.01864624023438,1121.6341552734375,256.51727294921875,1281.2095947265625,526.5936889648438,503.1706848144531,352.0162048339844,426.5531921386719,624.328857421875,1957.308837890625,568.6024169921875,131.5991668701172,145.4238739013672,191.06455993652344,244.04884338378906,19.2440128326416,142.62950134277344,113.32904815673828,568.3309326171875,101.23082733154297,84.04691314697266,388.0706787109375,351.6332092285156
2019-07-08,2331.465576171875,1672.2469482421875,1940.5469970703125,594.2734985351562,5718.4423828125,153.5958251953125,29.697946548461914,1286.02783203125,1212.311279296875,858.3811645507812,4276.31689453125,422.76171875,1342.5091552734375,779.5037231445312,757.2973022460938,3350.58740234375,1154.013916015625,409.69842529296875,1418.36474609375,1470.063720703125,334.4241027832031,194.38772583007812,1611.9144287109375,223.40821838378906,1107.052001953125,253.58261108398438,1277.8756103515625,515.5352172851562,502.155029296875,344.0893859863281,436.05865478515625,623.9810791015625,1968.4384765625,567.9764404296875,129.20294189453125,137.13084411621094,189.8157958984375,243.76998901367188,18.82964515686035,137.028076171875,106.94329833984375,563.2474365234375,96.11368560791016,82.16876983642578,383.5867919921875,343.536376953125
